id;user_name;password;email;phone_number;name;avatar;permission;is_active
1;Generic;Station;Keyshawn48@yahoo.com;SSL;Arizona productize Sleek;unleash Nepal;86448;true
2;Forint;Vatu;Johanna33@gmail.com;navigating Applications Account;open-source Synergized incentivize;Engineer;58635;false
3;USB;iterate Shoes out-of-the-box;Nat_Streich@gmail.com;plug-and-play blockchains;e-enable;bus cross-platform grey;9435;false
4;firewall;bandwidth;Ursula67@hotmail.com;invoice distributed Open-architected;port 24/365;Personal Hampshire killer;27015;true
5;Gorgeous Vista Consultant;programming generate;Tyree50@hotmail.com;auxiliary Yemen;deposit drive Beauty;Internal group Berkshire;64081;false
6;Division Table matrices;Account Intelligent;River63@hotmail.com;visionary Automotive Generic;Granite web-readiness black;Plastic capacitor;20621;false
7;Handmade supply-chains next;brand;Noemi3@hotmail.com;Steel;generate Usability Wisconsin;Buckinghamshire calculating;83203;true
8;New;Security Tools Salad;Tatyana.Toy3@hotmail.com;Account morph;reboot;user-centric Borders;64745;false
9;Dale;Human up Handcrafted;Price.Mayer@hotmail.com;Cambridgeshire;Internal Generic User-friendly;microchip Savings Buckinghamshire;8698;true
10;Cambridgeshire;GB harness;Marcos_Kilback78@yahoo.com;Hong Bedfordshire;Fresh deposit Dynamic;payment input impactful;5094;true
